date,open,high,low,volume,close
2007-01-03,6.31819,6.3948884,5.9295883,112925736.0,6.1494550000000014
2007-01-04,6.1272980000000015,6.1494550000000014,5.9704932999999984,77964740.0,6.1204805
2007-01-05,5.9756064,5.999468,5.696086,121582190.0,5.736991400000001
2007-01-08,5.757445,5.8903875,5.65859,64271896.0,5.7796016
2007-01-09,5.7881236,5.827325,5.660294,74724870.0,5.6671114000000005
2007-01-10,5.607457,5.999468299999998,5.522238,108420136.0,5.946632
2007-01-11,5.9466333,5.992652,5.8273253,90403944.0,5.924476
2007-01-12,5.8358474000000005,6.028444,5.808577,68273310.0,6.0045824
2007-01-16,6.0505996,6.0540085,5.946632,69610660.0,6.0148077
2007-01-17,5.931293,5.967085400000001,5.866526,69226140.0,5.888683
2007-01-18,5.837551,5.837551,5.327936599999999,146839650.0,5.401226
2007-01-19,5.3432765,5.5460997,5.3057804000000015,92173890.0,5.43361
2007-01-22,5.4847410000000005,5.57337,5.413157,71447070.0,5.43361
2007-01-23,5.4080443,5.5222387,5.307485,61639870.0,5.4353147
2007-01-24,5.5051947,5.677339,5.479628599999999,67054108.0,5.6040497
2007-01-25,5.6551795,5.6756325,5.380772,60264230.0,5.4080424
2007-01-26,5.454063400000001,5.506899400000001,5.266579599999999,81122056.0,5.36373
2007-01-29,5.339868,5.3432765,5.097844,123043110.0,5.1438627
2007-01-30,5.17795,5.2768044000000005,5.1319313,62209000.0,5.242717
2007-01-31,5.2171507,5.273396,5.1523843000000005,45761710.0,5.2239685
2007-02-01,5.174542400000001,5.3177114,5.164316,63648790.0,5.290441
2007-02-02,5.319415,5.4540625,5.2751007,57360350.0,5.428496400000001
2007-02-05,5.4540606,5.563142,5.4455385000000005,56706764.0,5.5171230000000016
2007-02-06,5.6415462,5.784715,5.5580306,75822030.0,5.7131305
2007-02-07,5.7591496,5.950042,5.725062,74420940.0,5.9364066
2007-02-08,5.8460727,5.9432230000000015,5.7949405,71019950.0,5.859708
2007-02-09,5.888683,5.9381104,5.5426908,91719380.0,5.5648480000000005
2007-02-12,5.605754,5.8085765999999985,5.5461,77188696.0,5.687565
2007-02-13,5.779602,5.84096,5.7216525,83092264.0,5.794941400000001
2007-02-14,5.8460746,5.8801627,5.70461,105790030.0,5.718245
2007-02-15,5.714834,5.781306,5.660293599999998,47786280.0,5.7523313
2007-02-16,5.7284690000000005,5.7352867,5.559734,89480470.0,5.576778400000001
2007-02-20,5.5853,5.6568847,5.5460987,61172856.0,5.626205400000001
2007-02-21,5.5801870000000005,5.6398410000000005,5.486445400000001,64082588.0,5.5426908
2007-02-22,5.629615,5.7199472999999985,5.5648475,64094320.0,5.578482599999999
2007-02-23,5.631319,5.634728400000001,5.5631437,39412628.0,5.5648480000000005
2007-02-26,5.5801883000000005,5.6227984000000015,5.471107,48313144.0,5.479629
2007-02-27,5.4199753,5.547805,5.305781,69880920.0,5.314303
2007-02-28,5.29896,5.3978148,5.234193,76278150.0,5.2836204
2007-03-01,5.169428,5.3160057,5.101252,81869550.0,5.218855400000002
2007-03-02,5.1728377,5.2359,5.0637565,66761536.0,5.0739827
2007-03-05,4.9853535,5.0842085,4.884794,64886784.0,4.9018383000000005
2007-03-06,5.009216,5.247831,4.9887633000000005,78813130.0,5.191586
2007-03-07,5.166018,5.1898794000000015,5.022849,79368980.0,5.0450063
2007-03-08,5.1506805,5.310893,5.147271599999999,75356184.0,5.252944
2007-03-09,5.326234,5.385888,5.140455,54301188.0,5.2001085
