date,open,high,low,volume,close,return
2009-07-02,9.362114,9.362114,8.994884,15020183.0,9.117293,-0.026150287621974244
2009-07-03,9.067432,9.149039,8.886069,7836352.0,9.044762,-0.00795532182633596
2009-07-06,9.035686,9.099159,8.772733,8851624.0,9.035686,-0.0010034537116621056
2009-07-07,9.058359,9.330387,8.913279,8747576.0,9.198902,0.01806348737660879
2009-07-08,9.158097,9.185305,9.0266285,5271302.5,9.058358,-0.015278345176413466
2009-07-09,9.090087,9.298641,8.963156,12666778.0,9.289582,0.02552603904592865
2009-07-10,9.32131,10.014967,9.312251,16997202.0,9.860828,0.06149318666867898
2009-07-13,9.752015,10.268864,9.629605,10010525.0,10.101112,0.024367527757304108
2009-07-14,10.092038,10.200852,9.915229,11176995.0,10.119246,0.001795247889539331
2009-07-15,10.178183,10.200852,10.028564,11440448.0,10.123783,0.00044835356310124475
2009-07-16,10.146454,10.200852,9.83816,5497973.5,9.851755,-0.02687019269377844
2009-07-17,9.833624,9.951496,9.498121,8317992.0,9.566133,-0.02899199178217482
2009-07-20,9.62053,9.815488,9.534402,10893438.0,9.652274,0.009004788037130451
2009-07-21,9.702139,9.702139,9.421052,11368338.0,9.430127,-0.02301499107878613
2009-07-22,9.362116,9.584266,9.362116,5655770.0,9.516272,0.009135083758680995
2009-07-23,9.561595,9.679484,9.384786,10301274.0,9.643202,0.013338206390065332
2009-07-24,9.702138,10.073906,9.656814,21428996.0,9.770149,0.013164403276007208
2009-07-27,9.910692,9.965108,9.616011,11554131.0,9.7384205,-0.0032474939737356934
2009-07-28,9.693079,9.924305,9.570669,8438358.0,9.824549,0.008844196037745444
2009-07-29,9.756554,9.942438,9.081029,13511844.0,9.294104,-0.05399179137892218
2009-07-30,9.248777,9.430124,8.858877,10512885.0,9.035686,-0.027804509181304726
2009-07-31,9.149038,9.303177,9.040223,11743851.0,9.1671715,0.014551800494173817
2009-08-03,9.158098,9.27145,8.954082,18944022.0,9.203438,0.00395612757981012
2009-08-04,9.294105,9.747479,9.040225,28013690.0,9.59334,0.04236482062464031
2009-08-05,9.656811,10.554486,9.656811,61309096.0,10.4003315,0.08411997281447348
2009-08-06,10.33686,11.0668,10.069368,40770132.0,10.636096,0.022668940889047695
2009-08-07,10.418467,10.92172,10.205391,17642314.0,10.368605,-0.02514935931379325
2009-08-10,10.395797,10.649692,10.078444,13838473.0,10.636096,0.025798166677195145
2009-08-11,10.654227,11.039591,10.450211,15368470.0,10.699569,0.005967697170089492
2009-08-12,10.586217,10.699569,9.974166,11727616.0,10.046714,-0.061016943766613485
2009-08-13,10.155513,10.382201,9.8381605,11308599.0,9.865352,-0.018051872482883424
2009-08-14,9.838159,10.055771,9.24424,8362463.5,9.475466,-0.03952073884439189
2009-08-17,9.203438,9.380248,8.555121,6884519.0,8.777271,-0.07368450269358784
2009-08-18,8.591389,8.95862,8.591389,3764783.8,8.886071,0.012395652361650855
2009-08-19,8.931409,9.330385,8.886068,20510034.0,9.162634,0.031123203944690703
2009-08-20,9.162635,9.656813,9.112757,9352221.0,9.588802,0.046511516229939875
2009-08-21,9.602399,9.906157,9.602399,6783097.5,9.820029,0.02411427412934386
2009-08-24,9.81549,10.073906,9.702138,5891229.0,9.942437,0.012465136304587343
2009-08-25,9.888021,10.064847,9.461855,6656792.0,9.915229,-0.0027365524166761412
2009-08-26,9.906153,10.876376,9.747477,8522004.0,10.336858,0.042523374901376476
2009-08-27,10.323262,10.454748,10.155512,5065121.0,10.255252,-0.007894661994969798
2009-08-28,10.35953,10.35953,9.702139,10459281.0,10.25979,0.0004425049720864216
2009-08-31,9.974166,10.196316,9.2351675,13519454.0,9.588802,-0.06539977913777972
2009-09-01,9.425588,9.697616,9.294103,5504127.5,9.611471,0.0023641118045820697
2009-09-02,9.566132,10.196316,9.416513,16305935.0,9.951495,0.035376894962279914
2009-09-03,9.869888,10.500072,9.869888,8586482.0,10.409407,0.04601439281233621
2009-09-04,10.291534,10.8265,10.23712,10669733.0,10.72676,0.030487135338256977
2009-09-07,10.744894,10.889975,10.563547,7071180.5,10.681419,-0.004226905421581217
2009-09-08,10.699569,11.375077,10.531817,14512954.0,11.366019,0.0640926079203521
2009-09-09,11.334271,11.58363,11.016919,11407300.0,11.134792,-0.02034371049353345
2009-09-10,11.107602,11.334273,10.97158,4547245.0,11.080394,-0.0048854078280042845
2009-09-11,11.130257,11.379614,10.97158,11227340.0,11.334273,0.022912452391133264
2009-09-14,11.334274,11.583632,11.243608,8771237.0,11.434031,0.008801446727108031
2009-09-15,11.456684,11.560962,11.107603,6439270.5,11.438551,0.00039531115491997504
2009-09-16,11.438551,11.919134,11.279875,7526009.0,11.842065,0.035276670969950574
2009-09-17,11.964475,12.037006,11.701504,8018977.5,11.950862,0.009187333459156122
2009-09-18,11.964475,12.014337,11.515637,6069127.5,11.75592,-0.016311961430062638
2009-09-21,11.701504,12.136746,11.5836315,7024810.0,12.127688,0.03162389672607491
2009-09-22,12.127688,12.445042,11.334274,6364549.5,11.674314,-0.037383382554036504
2009-09-23,11.651643,11.941805,11.424956,7713623.0,11.515637,-0.013591976367947733
2009-09-24,11.112123,11.628971,10.803829,7589692.5,11.470295,-0.003937428732774362
2009-09-25,11.470295,11.483891,11.157464,4200357.5,11.28441,-0.01620577326040884
2009-09-28,11.11666,11.356943,10.880914,1875794.2,11.112123,-0.015267701191289507
2009-09-29,10.962523,11.284413,10.667825,3363355.5,11.275339,0.014688102354518673
2009-09-30,11.329754,11.424956,11.112125,3014802.8,11.347887,0.006434218962285687
2009-10-09,11.742307,11.764977,11.356944,3595905.5,11.719653,0.03276081265172981
2009-10-12,11.764977,11.764977,11.470295,2468698.8,11.53829,-0.015475116882726736
2009-10-13,11.470297,11.628973,11.424955,4178044.0,11.5745735,0.0031446167499689093
2009-10-14,11.728713,12.014337,11.470297,3638356.2,11.751383,0.01527568164822668
2009-10-15,11.783111,11.810319,11.334273,4503358.5,11.406822,-0.02932088929447718
2009-10-16,11.470296,11.570036,11.2436075,2366502.0,11.406822,0.0
