date,open,high,low,volume,close,return
2019-06-18,1.1221089,1.1221089,1.1066772,42991060.0,1.1159363,0.008366576992821395
2019-06-19,1.1595861,1.2274858,1.1595861,277243330.0,1.2274858,0.09996045473204873
2019-06-20,1.2270448,1.2336584,1.1864814,197657800.0,1.2089677,-0.015086203033876089
2019-06-21,1.2323358,1.2609948,1.1992677,145704600.0,1.2305721,0.017870121757595392
2019-06-24,1.2177858,1.2270448,1.1904496,115994550.0,1.2213131,-0.007524142632520325
2019-06-25,1.2213131,1.2213131,1.1684042,111470744.0,1.2049996,-0.013357344648149527
2019-06-26,1.1988268,1.3081717,1.1961813,187023000.0,1.2676083,0.05195744463317653
2019-06-27,1.2918582,1.3350672,1.2803947,198404050.0,1.3050854,0.029565205592295474
2019-06-28,1.2896537,1.3103763,1.2733401,122009064.0,1.2945037,-0.008108051779600167
2019-07-01,1.3575535,1.4197214,1.3324218,243795940.0,1.4100214,0.0892370566418621
2019-07-02,1.4020851,1.4051715,1.3482944,135348210.0,1.3813624,-0.020325223432779094
2019-07-03,1.3571125,1.3729851,1.3337444,73413150.0,1.3504989,-0.022342797226853617
2019-07-04,1.3535852,1.3646079,1.3099355,80523830.0,1.3205173,-0.022200388315755104
2019-07-05,1.3346263,1.3676943,1.321399,95608430.0,1.3460898,0.019365516831926444
2019-07-08,1.3632852,1.3632852,1.30244,70619660.0,1.3143445,-0.02358334488531144
2019-07-09,1.306849,1.3355081,1.2997946,57940260.0,1.3306581,0.012411966573451672
2019-07-10,1.3557898,1.3557898,1.3050854,76044790.0,1.3112582,-0.014579177025262902
2019-07-11,1.3191946,1.3601989,1.3191946,108086990.0,1.3434443,0.024545966614355708
2019-07-12,1.3540261,1.3540261,1.3178717,58473024.0,1.3425626,-0.0006562981435107584
2019-07-15,1.3297763,1.4078169,1.3112582,110840660.0,1.3800397,0.027914601523981064
2019-07-16,1.3734261,1.4682211,1.3725442,157691650.0,1.4091395,0.021086204983813195
2019-07-17,1.4003214,1.4770392,1.4003214,121965900.0,1.4373575,0.020024986880291085
2019-07-18,1.4210441,1.436476,1.3756307,98552500.0,1.3875351,-0.03466249697796131
2019-07-19,1.402085,1.4232485,1.3800397,64107564.0,1.3967942,0.006673056414933098
2019-07-22,1.4197214,1.4263349,1.3443261,84058660.0,1.3937079,-0.0022095595757770647
2019-07-23,1.4029669,1.4576395,1.3765124,123306100.0,1.4510257,0.0411261211908176
2019-07-24,1.4629303,1.5409709,1.4629303,184947280.0,1.5092255,0.04010942052921607
2019-07-25,1.5070211,1.5894706,1.4982028,194276580.0,1.5705116,0.04060764942018258
2019-07-26,1.5713934,1.605784,1.5440571,108228660.0,1.5832978,0.008141423469906206
2019-07-29,1.5828571,1.6295931,1.5568435,149586080.0,1.5881479,0.0030632897993037034
2019-07-30,1.5965251,1.6004933,1.540089,130975660.0,1.5458208,-0.02665186283972676
2019-07-31,1.5211301,1.5855025,1.5202483,106032024.0,1.5537573,0.005134165616092146
2019-08-01,1.5453799,1.5731571,1.5228937,115383700.0,1.5431753,-0.0068105874707716785
2019-08-02,1.4620484,1.5841798,1.4594029,216757120.0,1.5541981,0.007142934441731974
2019-08-05,1.5431755,1.5793298,1.5043756,109459570.0,1.51143,-0.02751779197259341
2019-08-06,1.4933529,1.5687481,1.440885,153346900.0,1.5325936,0.014002368617799021
2019-08-07,1.5766844,1.6062253,1.5414118,135685820.0,1.5537573,0.013809075021584238
2019-08-08,1.5378846,1.5784479,1.4937938,196256910.0,1.5652208,0.007377921892949502
2019-08-09,1.5656615,1.5996114,1.5158391,162245620.0,1.52598,-0.025070456513228145
2019-08-12,1.5387665,1.5938798,1.497321,179332200.0,1.5912343,0.04276222493086412
2019-08-13,1.5625752,1.6701567,1.5594889,313705100.0,1.644584,0.033527243599512646
2019-08-14,1.7195382,1.8077197,1.5863843,510930400.0,1.5969661,-0.02895437387205524
2019-08-15,1.5427345,1.75437,1.516721,324378270.0,1.7429063,0.0913859098198766
2019-08-16,1.7274747,1.7548109,1.6798567,239386820.0,1.7010204,-0.02403221561595137
2019-08-19,1.7415836,1.8531331,1.720861,289265800.0,1.7680379,0.03939841050701087
2019-08-20,1.7812653,1.7830288,1.740261,162913420.0,1.7570152,-0.006234425178328951
2019-08-21,1.7420244,1.7808244,1.7063111,169458780.0,1.740261,-0.009535603334564269
2019-08-22,1.7415836,1.7437881,1.6864703,173421650.0,1.6979338,-0.02432232866219497
2019-08-23,1.7019019,1.7142473,1.6304749,268826780.0,1.6807383,-0.010127308850321426
2019-08-26,1.6313568,1.6886748,1.6251842,156496740.0,1.6851476,0.002623430429353535
2019-08-27,1.6913203,1.7477564,1.6785339,234783400.0,1.7014611,0.009680754374275402
2019-08-28,1.6873521,1.6970521,1.6489933,168500030.0,1.6626612,-0.022803871331527836
2019-08-29,1.6754475,1.7036655,1.6392931,198916720.0,1.6622204,-0.0002651171507460637
2019-08-30,1.6750066,1.6802975,1.4959983,360423040.0,1.4959983,-0.10000003609629637
2019-09-02,1.4827712,1.6326796,1.454994,377097470.0,1.6225387,0.08458592499737483
2019-09-03,1.6168069,1.6688339,1.5965251,280189820.0,1.6441432,0.013315244807412085
2019-09-04,1.6525204,1.6534022,1.5541981,260066540.0,1.578889,-0.03968887868161364
2019-09-05,1.5916752,1.6635431,1.5718346,284346940.0,1.6049025,0.016475825723024196
2019-09-06,1.6181297,1.6445841,1.5537573,247786320.0,1.5912343,-0.00851652982034734
2019-09-09,1.6097523,1.7411427,1.5744797,372558140.0,1.7142475,0.0773067800260463
2019-09-10,1.7195383,1.7790607,1.697493,245535380.0,1.7340883,0.011574058005043186
2019-09-11,1.7552518,1.8121287,1.7230655,261883660.0,1.7720062,0.021866187552271654
2019-09-12,1.7883198,1.7989016,1.6922021,214398060.0,1.7265928,-0.02562823990119234
