date,open,high,low,volume,close,return
2007-01-05,1.4860258,1.5450412,1.4649463,54550760.0,1.5387217,0.02384309092319703
2007-01-08,1.5345044,1.6651866,1.5302873,64189464.0,1.658867,0.07808124107172865
2007-01-09,1.6715122,1.7031283,1.6441131,64663236.0,1.6778378,0.011435998184302854
2007-01-10,1.6757296,1.6989177,1.6230338,51272430.0,1.6904835,0.007536902553989311
2007-01-11,1.6925919,1.7600416,1.6441133,61636930.0,1.6630841,-0.016208025692057926
2007-01-12,1.6525413,1.7178823,1.5808744,67668890.0,1.5872,-0.04562854037267272
2007-01-15,1.60828,1.7431791,1.5998456,63287924.0,1.7410706,0.09694468245967758
2007-01-16,1.7537159,1.8064117,1.7242082,81480456.0,1.7874469,0.02663665677888072
2007-01-17,1.8338169,1.8928384,1.7178824,118825030.0,1.7516133,-0.020047364763674858
2007-01-18,1.738962,1.8148459,1.7199911,61572310.0,1.8043094,0.03008432283541107
2007-01-19,1.8148459,1.8654333,1.8064117,60494012.0,1.8422451,0.021025052576902903
2007-01-22,1.8464618,1.888621,1.8401424,73820380.0,1.873867,0.017164871275814564
2007-01-23,1.9012668,1.9982302,1.8822957,113089736.0,1.9919046,0.06299145030036812
2007-01-24,1.9961215,2.031955,1.9623966,65330348.0,2.002441,0.005289610757463148
2007-01-25,1.9919045,1.9919045,1.8717589,69603100.0,1.8759761,-0.06315536887229145
2007-01-26,1.8527877,2.0361657,1.8380339,92198970.0,2.0340633,0.08426930385733611
2007-01-29,2.0340636,2.1373467,2.0193036,103639416.0,2.0635712,0.01450687399944739
2007-01-30,2.0677884,2.078325,1.9792591,62567856.0,2.0045497,-0.028601630028564085
2007-01-31,1.9813678,2.012984,1.8295999,63544904.0,1.8422451,-0.08096810969565893
2007-02-01,1.7874469,1.833817,1.7031286,85081144.0,1.7832297,-0.032034499643939895
2007-02-02,1.791658,1.8443539,1.7600418,57532788.0,1.7747955,-0.004729732798864905
2007-02-05,1.7663672,1.7916578,1.7305337,37392308.0,1.7452877,-0.016626028181838448
2007-02-06,1.7600416,1.827491,1.7537158,39550548.0,1.8253826,0.04589208988294602
2007-02-07,1.8401425,1.8949406,1.8190628,61254076.0,1.8928382,0.03695422537718929
2007-02-08,1.8970497,1.9581797,1.8570052,65079250.0,1.9307743,0.02004191377794462
2007-02-09,1.9328831,1.947637,1.8654335,39769540.0,1.8970497,-0.01746687844353423
