date,open,high,low,volume,close,return
2010-01-05,0.71515924,0.71669215,0.69984716,1261629300.0,0.70903397,-0.008565070028587751
2010-01-06,0.70750314,0.7090339,0.6998471,1115369700.0,0.70290864,-0.008638979596421903
2010-01-07,0.701378,0.7044396,0.68912745,1462540700.0,0.69371974,-0.013072680398408476
2010-01-08,0.6906583,0.6983143,0.68912745,824852800.0,0.69678354,0.004416480926432875
2010-01-11,0.71056706,0.71822304,0.69525284,1356873500.0,0.69831437,0.0021969950667892757
2010-01-12,0.69831413,0.70443946,0.6891273,1380068200.0,0.70290864,0.00657908557717346
2010-01-13,0.69065833,0.69678354,0.6875946,1525277200.0,0.6891275,-0.019605876519030896
2010-01-14,0.692189,0.6952527,0.68759453,1225531400.0,0.69371974,0.006663846675687868
2010-01-15,0.6937198,0.6983143,0.6906583,917624600.0,0.69678354,0.004416480926432875
2010-01-18,0.6952527,0.6952527,0.68759453,1466260400.0,0.69371974,-0.004397061388677348
2010-01-19,0.69371974,0.6967835,0.6906583,1007091650.0,0.69371974,0.0
2010-01-20,0.6937198,0.6952528,0.6738132,1906686200.0,0.6768748,-0.024282053729651754
2010-01-21,0.6799384,0.6845328,0.6738131,1748498300.0,0.6784076,0.0022645251381792075
2010-01-22,0.6738132,0.67534405,0.6630935,1628013400.0,0.67534405,-0.004515795518800214
2010-01-26,0.6676879,0.67228025,0.64624846,1632696300.0,0.65390444,-0.031746204027413794
2010-01-27,0.6523738,0.6554353,0.64471555,833399400.0,0.6523738,-0.0023407701590159036
2010-01-28,0.6508409,0.6554353,0.6462485,739001700.0,0.6554353,0.004692861669184145
2010-01-29,0.6508409,0.658499,0.6477793,763584060.0,0.6523738,-0.0046709415864542025
2010-02-01,0.65084076,0.65084076,0.640121,942336640.0,0.6462484,-0.00938940221081852
2010-02-02,0.6462484,0.65084076,0.6416539,665535500.0,0.6416539,-0.007109495358131546
2010-02-03,0.64165395,0.64777917,0.6309342,1003831000.0,0.6462484,0.007160402204365868
2010-02-04,0.6431847,0.6630934,0.6385902,1235955200.0,0.65390444,0.011846899737005367
2010-02-05,0.640121,0.6462484,0.63705945,773722000.0,0.6416539,-0.01873444994501039
2010-02-08,0.6416539,0.6462484,0.6385902,516787600.0,0.6416539,0.0
2010-02-09,0.64012104,0.6431847,0.6385903,439422300.0,0.6431847,0.002385709803992553
2010-02-10,0.6462486,0.6493101,0.64318484,483555680.0,0.6493101,0.009523547435130064
2010-02-11,0.6508409,0.65696824,0.6477793,796155300.0,0.6554353,0.009433397077913908
2010-02-12,0.6554353,0.65696824,0.6508409,739350850.0,0.6554353,0.0
2010-02-22,0.658499,0.6661551,0.6554354,808372800.0,0.658499,0.004674298134384802
2010-02-23,0.658499,0.658499,0.64471555,616046850.0,0.6523738,-0.009301760518998448
2010-02-24,0.65084076,0.66156054,0.64624846,705966850.0,0.6600297,0.011735449829530342
