date,open,high,low,volume,close,future_return
2007-01-04,1.3733335,1.4112283,1.3473686,188694200.0,1.4000002,-0.008196595652232297
2007-01-05,1.3698248,1.3740352,1.3452634,181818580.0,1.3621055,0.010330805259455511
2007-01-08,1.3585969,1.3845618,1.3508775,107584620.0,1.3600003,0.009713234928246939
2007-01-09,1.3726323,1.4014041,1.3473692,253277940.0,1.3845621,0.05367090799551222
2007-01-10,1.385965,1.4807019,1.3789474,404608770.0,1.4652632,-0.024988033698747802
2007-01-11,1.460351,1.477193,1.4133334,349656500.0,1.4526317,0.0004928856403478843
2007-01-12,1.4238597,1.4561403,1.4154385,197044740.0,1.4308771,-0.02413781363598566
2007-01-16,1.4245615,1.4435089,1.3894738,185911180.0,1.3964914,-0.020697167991067578
2007-01-17,1.3901757,1.4063162,1.3698249,152298270.0,1.3754389,-0.04278329047313678
2007-01-18,1.361403,1.3684205,1.3052627,255315920.0,1.3164908,-0.0016153071880710135
2007-01-19,1.3031577,1.3333331,1.2926314,194210430.0,1.2947367,-0.018338534634300463
2007-01-22,1.3010527,1.3017542,1.2575438,202737600.0,1.2842104,0.02967013685399067
2007-01-23,1.2771933,1.3080704,1.2736845,156986510.0,1.2877196,0.035218789194151334
2007-01-24,1.3150878,1.3649124,1.3010528,211018260.0,1.3578949,-0.027834875712095863
2007-01-25,1.3614036,1.3922808,1.3192983,230262900.0,1.3298247,0.0037112702889614546
2007-01-26,1.3235091,1.352281,1.2975441,170481260.0,1.3347371,0.012150289704845108
2007-01-29,1.328421,1.3368421,1.3052632,135259580.0,1.3361404,-0.020355109029210006
2007-01-30,1.3445617,1.3445617,1.3157897,74960690.0,1.3185968,-0.01971214544869282
2007-01-31,1.317193,1.3221053,1.2729825,261002990.0,1.2835089,-0.0010874142086260141
2007-02-01,1.2912283,1.2947372,1.2561406,355580160.0,1.2877196,-0.009248934854842905
2007-02-02,1.2898242,1.3129822,1.2856138,142082500.0,1.2954383,1.565074179143977e-07
2007-02-05,1.2778947,1.2975439,1.2596492,202247400.0,1.2764913,0.029653768866281682
2007-02-06,1.2778949,1.2912282,1.2631581,188701330.0,1.2898247,0.0016002562112338303
2007-02-07,1.3157893,1.3298244,1.2933332,269236670.0,1.319298,0.00479241554087495
2007-02-08,1.3178949,1.3192984,1.2954386,137022290.0,1.3017545,-0.02755739494044296
2007-02-09,1.3242108,1.3473687,1.2814038,232920480.0,1.2849125,-0.013078319105332747
2007-02-12,1.287719,1.2919295,1.2533331,194375740.0,1.2568418,0.014908750471524401
2007-02-13,1.2708778,1.2849128,1.2575444,217754140.0,1.2814041,0.004352218324191304
2007-02-14,1.289825,1.3115795,1.2877198,192751120.0,1.2975444,0.04387888395482431
2007-02-15,1.2954386,1.3607018,1.29193,290148500.0,1.3578949,0.025946752191297495
2007-02-16,1.352281,1.3936845,1.3452634,256948830.0,1.3901756,0.0035411649523777733
2007-02-20,1.3873683,1.4049121,1.3614033,164198500.0,1.3915788,0.01764068925156792
2007-02-21,1.3922812,1.407018,1.3684214,192754000.0,1.4007021,-0.006933871243229639
2007-02-22,1.416842,1.4336841,1.3978946,196233920.0,1.4161402,-0.006483784355819755
2007-02-23,1.4070178,1.4259652,1.3929828,175034140.0,1.4091231,0.02058208949885354
2007-02-26,1.397895,1.4070177,1.3740354,234948260.0,1.3936845,-0.0014755374521278064
2007-02-27,1.4266666,1.4877194,1.4182456,582331970.0,1.4357895,-0.008867079448658388
2007-02-28,1.4245615,1.4512283,1.4056143,245665710.0,1.4400002,0.011431375695873935
2007-03-01,1.4119298,1.4624561,1.4035087,242610540.0,1.4315789,-0.054053929145354895
2007-03-02,1.4280701,1.4385962,1.3894734,187812180.0,1.3915788,0.0015588388375464834
2007-03-05,1.3508773,1.3782457,1.337544,191327600.0,1.3396492,-0.005187278392464911
2007-03-06,1.3529831,1.3614041,1.3354392,193170060.0,1.350176,0.009906276895205623
2007-03-07,1.3459648,1.3649122,1.328421,116962584.0,1.3354385,-0.018585692338466187
2007-03-08,1.3592983,1.3649124,1.3157895,210988350.0,1.3178948,-0.018410839057571682
2007-03-09,1.3340348,1.338947,1.2982453,137975650.0,1.30807,-0.019292706896608336
2007-03-12,1.3094741,1.3389478,1.3052636,112164560.0,1.3235092,-0.024590199677498426
2007-03-13,1.2842108,1.2940354,1.2505265,240586980.0,1.2519301,0.007282746613969104
2007-03-14,1.2526318,1.2645617,1.2168423,249440510.0,1.2610527,0.004449281096225999
2007-03-15,1.2617544,1.2849123,1.2596493,171664050.0,1.2722807,-0.005537143386022847
2007-03-16,1.2673683,1.2778946,1.2378945,120222984.0,1.248421,-0.025612077654259213
2007-03-19,1.2603507,1.2666665,1.2168419,148848380.0,1.225263,0.026856601473612463
