date,open,high,low,volume,close,return
2017-12-19,2.6328092,2.6531837,2.6190264,45740436.0,2.6477904,0.005118347819052627
2017-12-20,2.650487,2.650487,2.604944,25021238.0,2.6097379,-0.014371417012464471
2017-12-21,2.62412,2.6310112,2.5836706,20245276.0,2.5911613,-0.007118186082977873
2017-12-22,2.5887642,2.5887642,2.5570037,28128450.0,2.5713859,-0.007631867610866205
2017-12-26,2.5662923,2.5740826,2.553708,26723362.0,2.5573034,-0.005476618659221999
2017-12-27,2.5617979,2.5836706,2.5483148,35073788.0,2.56809,0.004217958651288711
2017-12-28,2.5767791,2.5779777,2.5519102,23742976.0,2.5662923,-0.0007000144075947068
2017-12-29,2.5638952,2.5815732,2.5534084,20715862.0,2.5540075,-0.004786983930084698
2018-01-02,2.573783,2.5806742,2.5492136,32854350.0,2.577678,0.009267983747111241
2018-01-03,2.5749815,2.6142323,2.5689888,29276550.0,2.6085393,0.011972519453554709
2018-01-04,2.6142323,2.657678,2.60824,35374164.0,2.6334083,0.009533688068261048
2018-01-05,2.6450937,2.6786518,2.633708,30211050.0,2.6645694,0.011832992248106633
2018-01-08,2.6588764,2.6942322,2.6534832,33712090.0,2.6894383,0.009333177811018833
2018-01-09,2.6939328,2.7107117,2.6774533,25929038.0,2.687341,-0.0007798282637678788
2018-01-10,2.6750562,2.6846442,2.6618726,22935300.0,2.676854,-0.0039023704100075163
2018-01-11,2.6789515,2.708914,2.6684644,23235676.0,2.6879401,0.004141466064268018
2018-01-12,2.6933334,2.7146068,2.6831462,20562338.0,2.7077155,0.007357083589771829
2018-01-16,2.7086143,2.735281,2.6675656,31375838.0,2.6747565,-0.012172253695042934
2018-01-17,2.6948316,2.735281,2.691236,21964088.0,2.7259927,0.019155463310398524
2018-01-18,2.7191012,2.7571535,2.7191012,31999950.0,2.7406743,0.005385781113793842
2018-01-19,2.7529588,2.7772286,2.737678,34289476.0,2.7748315,0.012463064290419323
2018-01-22,2.7706368,2.8011985,2.757753,24800962.0,2.7853184,0.003779292544430213
2018-01-23,2.787116,2.8002996,2.7715356,19120538.0,2.7979026,0.004518047200636088
2018-01-24,2.8113859,2.8206742,2.7781274,23749650.0,2.7817228,-0.0057828317540432606
2018-01-25,2.791311,2.8071911,2.7478652,22127624.0,2.7538579,-0.010017137581070257
2018-01-26,2.7694383,2.788914,2.7613485,25304924.0,2.7853184,0.011424155182444329
2018-01-29,2.7691386,2.7862172,2.7325842,26022488.0,2.7349813,-0.018072296510158403
2018-01-30,2.7334833,2.7541573,2.7262921,27581100.0,2.7361798,0.00043821140568689465
2018-01-31,2.7418728,2.7838204,2.7349813,36692476.0,2.7748315,0.01412615501364356
2018-02-01,2.7532585,2.7847192,2.723296,37213124.0,2.7379775,-0.01328152718462361
2018-02-02,2.7214983,2.7436705,2.700824,33959064.0,2.7014234,-0.013350767126464658
2018-02-05,2.6942322,2.737678,2.6253185,49662000.0,2.6253185,-0.028172148060907398
2018-02-06,2.5947566,2.6343071,2.5117605,60598988.0,2.6202247,-0.0019402598199037557
2018-02-07,2.6034458,2.6271162,2.5713859,47772976.0,2.5722847,-0.018296140785177717
2018-02-08,2.5722847,2.5842698,2.4737077,60989476.0,2.4755056,-0.03762379024374718
2018-02-09,2.4964793,2.5516107,2.459925,57361612.0,2.5270412,0.020818211843269596
2018-02-12,2.5366294,2.570487,2.5282397,30331200.0,2.5567043,0.011738273202668736
2018-02-13,2.5396256,2.5698876,2.5309365,25114688.0,2.5617979,0.001992252291358243
2018-02-14,2.539925,2.5971537,2.533633,43140524.0,2.595356,0.013099433019287066
2018-02-15,2.6055431,2.6705618,2.5884645,47195588.0,2.6645694,0.026668171919381978
2018-02-16,2.662472,2.6894383,2.6597753,39532690.0,2.668764,0.0015742130792315567
2018-02-20,2.6618726,2.6963296,2.654382,39769650.0,2.6894383,0.007746769665657904
2018-02-21,2.693633,2.7083147,2.6492884,49221450.0,2.650487,-0.014483061388692153
2018-02-22,2.7310863,2.7829213,2.527341,112757440.0,2.5282397,-0.046122580491811616
2018-02-23,2.552809,2.564195,2.5234458,52649064.0,2.5540075,0.010191992476029865
2018-02-26,2.570487,2.5836706,2.5435207,32607376.0,2.560899,0.0026983084427121273
2018-02-27,2.573783,2.5878654,2.5429215,35000364.0,2.545019,-0.006200947401674206
2018-02-28,2.5549064,2.5809739,2.536929,41838900.0,2.536929,-0.0031787581939465293
2018-03-01,2.536929,2.5525095,2.5054681,59370788.0,2.5327342,-0.0016534952298625782
